freq,string
53418688,the
35933424,of
26829217,and
22070636,in
18073619,a
17926328,to
11642563,The
9970346,is
9022977,was
7492614,for
7426623,s
7134587,on
7080504,by
6509543,as
5967290,with
4680941,from
4678840,that
4565763,at
3747075,his
3248840,an
3011243,are
2983099,he
2915386,In
2645755,or
2607441,which
2566078,also
2555708,were
2531665,it
2495574,A
2428442,be
2282779,has
2017544,He
1803852,had
1755662,It
1741377,New
1724497,not
1686763,first
1670044,one
1637034,their
1607004,this
1586002,who
1583624,but
1551687,have
1426486,its
1372210,United
1368477,de
1314883,her
1295831,d
1277872,other
1261783,two
1258755,S
1250742,been
1236059,I
1183401,This
1154433,e
1131971,they
1120785,time
1098823,External
1097982,all
1092871,links
1081908,into
1060863,after
1049908,University
1037091,American
1024661,States
1006953,more
1006248,John
992446,v
991270,only
957688,when
953829,National
949358,References
943618,up
935685,years
925081,can
893257,School
881286,County
876340,Retrieved
874438,over
872965,km
854531,World
854313,used
846893,most
829004,she
826012,out
821799,name
814408,him
803468,N
802840,South
794189,would
790286,known
788489,about
787776,City
783100,such
776926,C
772875,new
762176,U
760674,York
751537,where
741638,some
739246,during
736765,many
723767,there
718684,State
712595,between
709253,North
708711,year
705390,than
697119,under
696225,Saint
695418,no
694002,made
693826,St
688493,May
687702,then
686739,W
671071,D
671015,part
666054,m
665833,E
650922,March
641702,well
639620,J
638150,later
638107,See
633448,being
630232,three
628699,com
619543,them
618205,On
615794,September
613845,will
606598,album
604435,West
603716,October
601193,born
599494,became
597710,For
595640,series
595575,April
595171,through
594870,age
594640,History
594148,area
592015,January
590792,including
588545,people
575610,War
574390,b
572634,B
570179,June
563763,R
560362,August
560130,July
559455,Park
553472,may
552482,November
549566,December
548771,List
544020,team
541352,called
539174,city
537769,M
529703,both
528855,English
526799,family
525980,before
524839,As
524641,British
522613,school
519382,film
517137,number
515132,College
513685,She
513219,San
511928,L
507882,II
502009,February
496184,There
495574,After
493899,until
492161,River
485877,League
483986,use
483505,second
482797,work
482756,state
482672,now
472570,while
471645,East
471469,against
470772,so
469041,game
468353,season
464571,No
463119,these
461223,London
460999,several
459889,based
459340,same
458667,population
452734,All
447683,They
444531,His
441595,town
440387,House
437993,any
436677,William
435821,t
435324,High
433204,England
433165,International
428310,District
427704,early
423292,since
423207,James
418488,music
417500,played
416878,located
416269,Party
416248,see
416017,station
415097,French
413426,F
412194,system
412072,One
411761,like
411391,released
410422,group
410333,life
409139,end
408429,George
406852,David
403238,www
402506,La
397395,O
396806,band
396212,high
396206,General
394953,world
394768,each
393081,century
390744,four
387952,very
386791,King
386788,mi
385702,H
383165,article
382804,US
382144,back
381324,information
379026,However
378996,P
378863,former
378313,place
378147,Other
377699,named
376368,found
375341,First
375245,T
372871,Canada
371266,often
368867,France
368201,day
367206,p
366205,line
362056,You
361778,government
361528,around
360688,http
358996,G
358813,California
358137,Music
356336,won
354962,TV
353559,home
353105,member
352121,if
351210,large
350973,because
350355,members
349766,At
349298,small
349137,Robert
348928,history
348787,could
348720,long
347187,Australia
345355,song
344503,site
341956,Coordinates
340900,German
340263,off
340043,public
339086,those
338755,Paul
337367,own
336940,began
336820,c
336421,did
335278,Kingdom
334795,do
333632,America
333000,Island
332842,show
332560,left
332499,single
332296,still
331799,following
331325,Lake
331012,present
330856,When
326957,Michael
325162,Street
325122,website
325017,Air
324715,Press
322143,player
321265,sq
320986,Cup
320825,set
318141,Church
318114,built
317572,career
317444,within
317314,Club
315886,Country
313329,company
308986,Germany
308801,last
308723,form
308166,Thomas
307931,local
307824,et
306717,death
305987,major
304773,include
304729,President
303777,India
303651,much
303618,Road
302553,along
302526,Central
302080,held
301944,Center
300963,Washington
298673,UK
298579,Charles
297838,took
297590,Division
297544,White
297412,original
294811,Best
293339,near
291737,Red
291240,even
289544,Union
289286,Time
288592,down
288041,died
287633,published
286945,book
285291,different
284908,K
284437,al
284410,European
283802,main
283628,another
282929,Black
282604,district
